abonnement_id,nom,categorie,tier,prix,frequence,a_promo,mois,annee,numero_mois,nb_ventes,tentatives,taux_conversion,prix_marche,economie_pct
1,Spotify Personal,musique,Normal,9.99,mensuel,1,2024-01,2024,1,21,22,0.95,11.04,9.5
2,Spotify Famille,musique,Gold,16.99,mensuel,1,2024-01,2024,1,14,17,0.82,19.52,13.0
3,Netflix Standard,streaming,Silver,14.99,mensuel,0,2024-01,2024,1,9,11,0.82,18.7,19.8
4,Netflix Premium,streaming,Gold,19.99,mensuel,0,2024-01,2024,1,6,11,0.55,22.34,10.5
5,Office 365 Solo,productivite,Normal,12.99,mensuel,0,2024-01,2024,1,4,8,0.5,14.37,9.6
6,Office 365 Famille,productivite,Gold,22.99,mensuel,1,2024-01,2024,1,5,6,0.83,26.29,12.6
7,Xbox Game Pass,gaming,Silver,11.99,mensuel,1,2024-01,2024,1,12,17,0.71,14.63,18.0
8,Coursera Plus,education,Platinum,49.99,annuel,1,2024-01,2024,1,2,7,0.29,56.98,12.3
9,NordVPN,securite,Normal,7.99,mensuel,1,2024-01,2024,1,12,17,0.71,9.46,15.5
10,Adobe Creative,productivite,Platinum,54.99,mensuel,0,2024-01,2024,1,4,8,0.5,66.97,17.9
11,Disney+,streaming,Normal,8.99,mensuel,0,2024-01,2024,1,12,13,0.92,11.25,20.1
12,Duolingo Plus,education,Normal,6.99,mensuel,1,2024-01,2024,1,13,15,0.87,8.66,19.3
13,YouTube Premium,streaming,Silver,13.99,mensuel,0,2024-01,2024,1,7,10,0.7,16.17,13.5
1,Spotify Personal,musique,Normal,9.99,mensuel,1,2024-02,2024,2,25,27,0.93,12.9,22.6
2,Spotify Famille,musique,Gold,16.99,mensuel,1,2024-02,2024,2,5,8,0.62,19.04,10.8
3,Netflix Standard,streaming,Silver,14.99,mensuel,0,2024-02,2024,2,9,13,0.69,16.78,10.7
4,Netflix Premium,streaming,Gold,19.99,mensuel,0,2024-02,2024,2,6,9,0.67,24.4,18.1
5,Office 365 Solo,productivite,Normal,12.99,mensuel,0,2024-02,2024,2,3,4,0.75,16.18,19.7
6,Office 365 Famille,productivite,Gold,22.99,mensuel,1,2024-02,2024,2,6,11,0.55,25.86,11.1
7,Xbox Game Pass,gaming,Silver,11.99,mensuel,1,2024-02,2024,2,14,18,0.78,13.38,10.4
8,Coursera Plus,education,Platinum,49.99,annuel,1,2024-02,2024,2,1,4,0.25,63.28,21.0
9,NordVPN,securite,Normal,7.99,mensuel,1,2024-02,2024,2,11,16,0.69,10.2,21.7
10,Adobe Creative,productivite,Platinum,54.99,mensuel,0,2024-02,2024,2,4,7,0.57,66.84,17.7
11,Disney+,streaming,Normal,8.99,mensuel,0,2024-02,2024,2,8,9,0.89,9.97,9.8
12,Duolingo Plus,education,Normal,6.99,mensuel,1,2024-02,2024,2,12,14,0.86,8.77,20.3
13,YouTube Premium,streaming,Silver,13.99,mensuel,0,2024-02,2024,2,5,6,0.83,17.78,21.3
1,Spotify Personal,musique,Normal,9.99,mensuel,1,2024-03,2024,3,16,17,0.94,11.75,15.0
2,Spotify Famille,musique,Gold,16.99,mensuel,1,2024-03,2024,3,14,18,0.78,20.85,18.5
3,Netflix Standard,streaming,Silver,14.99,mensuel,0,2024-03,2024,3,15,18,0.83,16.98,11.7
4,Netflix Premium,streaming,Gold,19.99,mensuel,0,2024-03,2024,3,6,9,0.67,22.83,12.4
5,Office 365 Solo,productivite,Normal,12.99,mensuel,0,2024-03,2024,3,8,11,0.73,16.11,19.4
6,Office 365 Famille,productivite,Gold,22.99,mensuel,1,2024-03,2024,3,3,4,0.75,28.09,18.2
7,Xbox Game Pass,gaming,Silver,11.99,mensuel,1,2024-03,2024,3,9,11,0.82,14.47,17.1
8,Coursera Plus,education,Platinum,49.99,annuel,1,2024-03,2024,3,1,3,0.33,56.62,11.7
9,NordVPN,securite,Normal,7.99,mensuel,1,2024-03,2024,3,11,15,0.73,9.22,13.3
10,Adobe Creative,productivite,Platinum,54.99,mensuel,0,2024-03,2024,3,2,7,0.29,62.9,12.6
11,Disney+,streaming,Normal,8.99,mensuel,0,2024-03,2024,3,8,11,0.73,11.4,21.1
12,Duolingo Plus,education,Normal,6.99,mensuel,1,2024-03,2024,3,17,18,0.94,8.01,12.7
13,YouTube Premium,streaming,Silver,13.99,mensuel,0,2024-03,2024,3,3,4,0.75,17.64,20.7
1,Spotify Personal,musique,Normal,9.99,mensuel,1,2024-04,2024,4,13,17,0.76,11.52,13.3
2,Spotify Famille,musique,Gold,16.99,mensuel,1,2024-04,2024,4,10,12,0.83,21.79,22.0
3,Netflix Standard,streaming,Silver,14.99,mensuel,0,2024-04,2024,4,10,15,0.67,19.12,21.6
4,Netflix Premium,streaming,Gold,19.99,mensuel,0,2024-04,2024,4,10,13,0.77,22.84,12.5
5,Office 365 Solo,productivite,Normal,12.99,mensuel,0,2024-04,2024,4,4,8,0.5,15.32,15.2
6,Office 365 Famille,productivite,Gold,22.99,mensuel,1,2024-04,2024,4,2,6,0.33,25.95,11.4
7,Xbox Game Pass,gaming,Silver,11.99,mensuel,1,2024-04,2024,4,6,8,0.75,13.78,13.0
8,Coursera Plus,education,Platinum,49.99,annuel,1,2024-04,2024,4,2,7,0.29,60.38,17.2
